date,move,range,time
2022-05-25 13:32:19.497478,open_mouth,34.23,12.07
2022-05-25 13:42:57.920307,open_mouth,36.06,28.11
2022-05-25 13:43:03.104573,open_mouth,40.05,3.49
2022-05-25 13:43:06.216244,open_mouth,34.01,1.82
2022-05-25 13:43:12.071730,open_mouth,37.01,4.72
2022-05-25 13:59:46.979811,open_mouth,33.0,12.63
2022-05-25 13:59:56.842044,open_mouth,33.0,1.63
2022-05-26 12:17:05.546779,open_mouth,37.12,7.54
2022-05-26 12:17:56.621484,open_mouth,31.02,2.93
2022-05-26 12:50:39.066144,open_mouth,36.01,3.21
2022-05-26 12:50:43.685884,open_mouth,31.02,3.46
2022-05-26 12:50:45.795375,open_mouth,31.0,1.55
2022-05-26 12:50:47.343929,open_mouth,30.0,0.76
2022-05-26 12:50:49.113271,open_mouth,38.05,0.97
2022-05-26 12:50:53.931419,open_mouth,37.01,4.42
2022-05-26 12:50:56.851495,open_mouth,36.01,1.94
2022-05-26 12:50:59.620272,open_mouth,30.02,1.75
2022-05-26 13:04:21.221345,open_mouth,37.12,1.76
2022-05-26 13:04:23.878283,down,14.04,0.23
2022-05-26 13:04:41.362537,up,15.0,2.28
2022-05-26 13:05:55.564988,open_mouth,34.06,7.03
2022-05-26 13:06:05.969056,down,14.0,4.28
2022-05-26 13:06:18.865683,down,15.03,5.14
2022-05-26 13:06:36.107839,down,18.11,4.73
2022-05-26 13:06:43.892760,down,19.24,1.37
2022-05-26 13:06:53.371663,down,19.24,2.18
2022-05-26 13:06:54.380733,down,16.03,0.66
2022-05-26 13:06:56.607700,down,19.1,0.74
2022-05-26 13:07:25.064867,down,19.03,1.2
2022-05-26 13:07:26.470039,down,18.03,0.97
2022-05-26 13:08:03.594868,down,17.12,6.4
2022-05-26 13:08:17.192357,down,19.1,1.83
2022-05-26 16:05:28.263739,down,19.92,50.99
2022-05-26 16:08:12.731850,open_mouth,37.01,6.28
2022-05-26 16:08:19.019021,down,14.04,5.14
2022-05-26 16:11:28.958360,down,17.03,4.11
2022-05-26 16:15:50.085002,down,16.03,35.03
2022-05-26 16:22:43.488056,down,14.04,3.47
2022-05-26 16:22:54.122602,down,19.03,1.74
2022-05-26 16:22:56.922274,down,16.03,1.3
2022-05-26 16:23:02.030611,down,19.1,0.18
2022-05-26 16:23:08.569090,down,19.03,3.13
2022-05-26 16:23:11.279060,down,18.11,2.36
2022-05-26 16:23:18.822734,down,19.03,2.17
2022-05-26 16:23:27.245503,down,17.03,8.24
2022-05-26 16:23:33.524689,down,14.04,0.98
2022-05-26 16:23:42.363087,down,19.03,0.62
2022-05-26 16:23:49.493715,down,10.0,6.88
2022-05-26 16:49:38.772705,open_mouth,30.0,5.92
2022-05-26 16:50:50.160526,open_mouth,30.07,27.88
2022-05-26 17:01:32.084937,open_mouth,7.07,4.53
2022-05-26 17:07:50.407310,open_mouth,35.13,16.69
2022-05-26 17:07:53.562871,open_mouth,30.07,2.09
2022-05-26 17:07:54.910055,open_mouth,33.06,0.36
2022-05-26 17:07:56.250765,open_mouth,31.06,0.49
2022-05-26 17:09:14.710545,open_mouth,32.06,37.22
2022-05-26 17:09:19.706381,open_mouth,34.06,3.42
2022-05-26 17:19:52.632386,open_mouth,32.06,7.33
2022-05-26 17:22:47.989307,open_mouth,31.02,8.44
2022-05-26 17:25:02.169632,down,233.02,10.91
2022-05-26 17:45:59.849936,down,256.52,18.91
2022-05-26 17:46:38.896445,down,271.95,0.19
2022-05-26 18:00:16.552116,down,115.07,18.22
2022-05-26 18:10:01.231599,open_mouth,33.14,6.85
2022-05-26 18:10:03.149110,open_mouth,30.27,1.22
2022-05-26 18:10:16.145153,down,81.79,9.99
2022-05-26 18:11:30.826113,down,89.02,0.82
2022-05-26 18:13:51.786387,open_mouth,30.15,13.89
2022-05-26 18:35:39.375983,open_mouth,30.15,34.11
2022-05-26 18:37:54.430666,open_mouth,31.14,17.96
2022-05-26 18:39:59.549393,open_mouth,31.4,6.05
2022-05-26 18:44:06.515827,open_mouth,30.41,14.63
2022-05-26 18:49:40.327587,open_mouth,35.23,6.34
2022-05-26 18:57:10.259938,down,97.06,3.75
2022-05-26 18:57:13.091264,down,89.05,2.16
2022-05-26 18:57:17.777005,down,92.57,3.19
2022-05-26 18:57:22.467024,down,86.41,4.54
2022-05-26 18:57:25.556801,down,103.47,2.27
2022-05-26 18:57:26.369844,down,100.65,0.4
2022-05-26 18:57:27.461927,down,99.2,0.2
2022-05-26 18:57:28.058449,down,89.54,0.4
2022-05-26 18:57:28.886906,down,108.24,0.19
2022-05-26 18:57:29.928169,down,89.69,0.44
2022-05-26 18:57:31.214189,down,86.98,0.52
2022-05-26 18:57:33.303800,down,89.01,1.57
2022-05-26 18:57:35.575018,down,90.08,1.97
2022-05-26 18:57:59.870526,down,63.64,22.72
2022-05-26 18:58:04.013064,down,72.8,1.4
2022-05-26 18:58:19.589083,down,60.03,15.37
2022-05-26 18:58:21.768954,down,122.18,2.0
2022-05-26 18:58:32.191699,down,82.28,3.32
2022-05-26 19:13:12.350207,down,84.77,22.21
2022-05-26 19:13:12.776719,down,84.43,0.2
2022-05-26 19:13:14.129519,down,95.89,0.75
2022-05-26 19:13:16.344650,down,114.34,2.04
